# Particle compact data for sintering simulation.
# Format: i xi yi ri
# Random Seed: 6
# Domain: (0,0) to maxx,maxy
PARTICLE COUNT:15
DOMAIN MAXX MAXY: 502.585205 426.675964
491.4381	 377.4766 	  0.0    60.0000
312.3016	 304.9767 	  0.0    50.0000
210.6194	 312.6990 	  0.0    50.0000
413.8026	 296.7654 	  0.0    50.0000
142.9548	 217.4216 	  0.0    60.0000
444.9612	 162.4316 	  0.0    50.0000
100.0000	 331.5814 	  0.0    60.0000
356.2920	 212.7621 	  0.0    50.0000
213.8844	 100.0000 	  0.0    75.0000
380.3362	 393.0879 	  0.0    50.0000
254.8293	 220.5368 	  0.0    50.0000
502.5852	 246.8202 	  0.0    50.0000
159.2164	 426.6760 	  0.0    50.0000
351.0388	 100.8798 	  0.0    60.0000
269.5640	 408.5208 	  0.0    60.0000
